ticker_original,ticker,company,sector
CELG,CELG,CELG,Unknown
CERN,CERN,CERN,Unknown
CF,CF,CF Industries,Materials
CFG,CFG,Citizens Financial Group,Financials
CHD,CHD,Church & Dwight,Consumer Staples
CHK,CHK,CHK,Unknown
CHRW,CHRW,C.H. Robinson,Industrials
CHTR,CHTR,Charter Communications,Communication Services
CI,CI,Cigna,Health Care
CIEN,CIEN,Ciena,Information Technology
CINF,CINF,Cincinnati Financial,Financials
CL,CL,Colgate-Palmolive,Consumer Staples
CLX,CLX,Clorox,Consumer Staples
CMA,CMA,CMA,Unknown
CMCSA,CMCSA,Comcast,Communication Services
CME,CME,CME Group,Financials
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,CMI,Cummins,Industrials
CMS,CMS,CMS Energy,Utilities
CNC,CNC,Centene Corporation,Health Care
CNP,CNP,CenterPoint Energy,Utilities
CNX,CNX,CNX,Unknown
COF,COF,Capital One,Financials
COG,COG,COG,Unknown
COHR,COHR,Coherent Corp.,Information Technology
COIN,COIN,Coinbase,Financials
COL,COL,COL,Unknown
COO,COO,Cooper Companies (The),Health Care
COP,COP,ConocoPhillips,Energy
ABC,COR,Cencora,Health Care
COST,COST,Costco,Consumer Staples
COTY,COTY,COTY,Unknown
CPAY,CPAY,Corpay,Financials
CPB,CPB,CPB,Unknown
CPGX,CPGX,CPGX,Unknown
CPRI,CPRI,CPRI,Unknown
CPRT,CPRT,Copart,Industrials
CPT,CPT,Camden Property Trust,Real Estate
CRH,CRH,CRH plc,Materials
CRL,CRL,Charles River Laboratories,Health Care
CRM,CRM,Salesforce,Information Technology
CRWD,CRWD,CrowdStrike,Information Technology
CSCO,CSCO,Cisco,Information Technology
CSGP,CSGP,CoStar Group,Real Estate
CSRA,CSRA,CSRA,Unknown
CSX,CSX,CSX Corporation,Industrials
CTAS,CTAS,Cintas,Industrials
CTLT,CTLT,CTLT,Unknown
CTRA,CTRA,CTRA,Unknown
CTSH,CTSH,Cognizant,Information Technology
CTVA,CTVA,Corteva,Materials
CTXS,CTXS,CTXS,Unknown
CVC,CVC,CVC,Unknown
CVNA,CVNA,Carvana,Consumer Discretionary
CVS,CVS,CVS Health,Health Care
CVX,CVX,Chevron Corporation,Energy
CXO,CXO,CXO,Unknown
CZR,CZR,CZR,Unknown
D,D,Dominion Energy,Utilities
DAL,DAL,Delta Air Lines,Industrials
DASH,DASH,DoorDash,Consumer Discretionary
CDAY,DAY,DAY,Unknown
DD,DD,DuPont,Materials
DDOG,DDOG,Datadog,Information Technology
DE,DE,Deere & Company,Industrials
DECK,DECK,Deckers Brands,Consumer Discretionary
DELL,DELL,Dell Technologies,Information Technology
DFS,DFS,DFS,Unknown
DG,DG,Dollar General,Consumer Staples
DGX,DGX,Quest Diagnostics,Health Care
DHI,DHI,D. R. Horton,Consumer Discretionary
DHR,DHR,Danaher Corporation,Health Care
DIS,DIS,Walt Disney Company (The),Communication Services
DISCA,DISCA,DISCA,Unknown
DISCK,DISCK,DISCK,Unknown
DISH,DISH,DISH,Unknown
DLR,DLR,Digital Realty,Real Estate
DLTR,DLTR,Dollar Tree,Consumer Staples
DNB,DNB,DNB,Unknown
DO,DO,DO,Unknown
DOC,DOC,Healthpeak Properties,Real Estate
DOV,DOV,Dover Corporation,Industrials
DOW,DOW,Dow Inc.,Materials
DPZ,DPZ,Domino's,Consumer Discretionary
DRE,DRE,DRE,Unknown
DRI,DRI,Darden Restaurants,Consumer Discretionary
DTE,DTE,DTE Energy,Utilities
DUK,DUK,Duke Energy,Utilities
DVA,DVA,DaVita,Health Care
DVN,DVN,Devon Energy,Energy
DWDP,DWDP,DWDP,Unknown
DXC,DXC,DXC,Unknown
DXCM,DXCM,Dexcom,Health Care
EA,EA,Electronic Arts,Communication Services
EBAY,EBAY,eBay Inc.,Consumer Discretionary
ECHO,ECHO,EchoStar,Communication Services
ECL,ECL,Ecolab,Materials
ED,ED,Consolidated Edison,Utilities
EFX,EFX,Equifax,Industrials
EG,EG,Everest Group,Financials
EIX,EIX,Edison International,Utilities
EL,EL,Estée Lauder Companies (The),Consumer Staples
ANTM,ELV,Elevance Health,Health Care
EMC,EMC,EMC,Unknown
EME,EME,Emcor,Industrials
EMN,EMN,EMN,Unknown
EMR,EMR,Emerson Electric,Industrials
ENDP,ENDP,ENDP,Unknown
ENPH,ENPH,ENPH,Unknown
EOG,EOG,EOG Resources,Energy
EPAM,EPAM,EPAM,Unknown
EQIX,EQIX,Equinix,Real Estate
EQT,EQT,EQT Corporation,Energy
ERIE,ERIE,Erie Indemnity,Financials
ES,ES,Eversource Energy,Utilities
ESRX,ESRX,ESRX,Unknown
ESS,ESS,Essex Property Trust,Real Estate
ESV,ESV,ESV,Unknown
ETFC,ETFC,ETFC,Unknown
ETN,ETN,Eaton Corporation,Industrials
ETR,ETR,Entergy,Utilities
ETSY,ETSY,ETSY,Unknown
EVHC,EVHC,EVHC,Unknown
EVRG,EVRG,Evergy,Utilities
EW,EW,Edwards Lifesciences,Health Care
EXC,EXC,Exelon,Utilities
EXE,EXE,Expand Energy,Energy
EXPD,EXPD,Expeditors International,Industrials
EXPE,EXPE,Expedia Group,Consumer Discretionary
EXR,EXR,Extra Space Storage,Real Estate
F,F,Ford Motor Company,Consumer Discretionary
FANG,FANG,Diamondback Energy,Energy
FAST,FAST,Fastenal,Industrials
FBHS,FBIN,FBIN,Unknown
FCX,FCX,Freeport-McMoRan,Materials
FDS,FDS,FactSet,Financials
FDX,FDX,FedEx,Industrials
FDXF,FDXF,FedEx Freight,Industrials
FE,FE,FirstEnergy,Utilities
FFIV,FFIV,"F5, Inc.",Information Technology
FI,FI,Fiserv,Financials
FICO,FICO,Fair Isaac,Information Technology
FIS,FIS,Fidelity National Information Services,Financials
FITB,FITB,Fifth Third Bancorp,Financials
FIX,FIX,Comfort Systems USA,Industrials
FL,FL,FL,Unknown
FLEX,FLEX,Flex Ltd.,Information Technology
FLIR,FLIR,FLIR,Unknown
FLR,FLR,FLR,Unknown
FLS,FLS,FLS,Unknown
FMC,FMC,FMC,Unknown
FOSL,FOSL,FOSL,Unknown
FOX,FOX,Fox Corporation (Class B),Communication Services
FOXA,FOXA,Fox Corporation (Class A),Communication Services
FRC,FRCB,FRC,Unknown
FRT,FRT,Federal Realty Investment Trust,Real Estate
FSLR,FSLR,First Solar,Information Technology
FTI,FTI,FTI,Unknown
FTNT,FTNT,Fortinet,Information Technology
FTR,FTR,FTR,Unknown
FTV,FTV,Fortive,Industrials
GPS,GAP,GAP,Unknown
GAS,GAS,GAS,Unknown
GD,GD,General Dynamics,Industrials
GDDY,GDDY,GoDaddy,Information Technology
GE,GE,GE Aerospace,Industrials
GEHC,GEHC,GE HealthCare,Health Care
GEN,GEN,Gen Digital,Information Technology
GEV,GEV,GE Vernova,Industrials
GGP,GGP,GGP,Unknown
GILD,GILD,Gilead Sciences,Health Care
GIS,GIS,General Mills,Consumer Staples
GL,GL,Globe Life,Financials
GLW,GLW,Corning Inc.,Information Technology
GM,GM,General Motors,Consumer Discretionary
GMCR,GMCR,GMCR,Unknown
GME,GME,GME,Unknown
GNRC,GNRC,Generac,Industrials
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services
GPC,GPC,Genuine Parts Company,Consumer Discretionary
GPN,GPN,Global Payments,Financials
GRMN,GRMN,Garmin,Consumer Discretionary
GS,GS,Goldman Sachs,Financials
GT,GT,GT,Unknown
GWW,GWW,W. W. Grainger,Industrials
HAL,HAL,Halliburton,Energy
HAR,HAR,HAR,Unknown
HAS,HAS,Hasbro,Consumer Discretionary
HBAN,HBAN,Huntington Bancshares,Financials
HBI,HBI,HBI,Unknown
HCA,HCA,HCA Healthcare,Health Care
HCP,HCP,HCP,Unknown
HD,HD,Home Depot (The),Consumer Discretionary
HES,HES,HES,Unknown
HFC,HFC,HFC,Unknown
HIG,HIG,Hartford (The),Financials
HII,HII,Huntington Ingalls Industries,Industrials
HLT,HLT,Hilton Worldwide,Consumer Discretionary
HOG,HOG,HOG,Unknown
HOLX,HOLX,HOLX,Unknown
HON,HON,Honeywell Technologies,Industrials
HONA,HONA,Honeywell Aerospace,Industrials
HOOD,HOOD,Robinhood Markets,Financials
HOT,HOT,HOT,Unknown
HP,HP,HP,Unknown
HPE,HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HPQ,HP Inc.,Information Technology
HRB,HRB,HRB,Unknown
HRL,HRL,Hormel Foods,Consumer Staples
HRS,HRS,HRS,Unknown
HSIC,HSIC,Henry Schein,Health Care
HST,HST,Host Hotels & Resorts,Real Estate
HSY,HSY,Hershey Company (The),Consumer Staples
HUBB,HUBB,Hubbell Incorporated,Industrials
HUM,HUM,Humana,Health Care
HWM,HWM,Howmet Aerospace,Industrials
IBKR,IBKR,Interactive Brokers,Financials
IBM,IBM,IBM,Information Technology
ICE,ICE,Intercontinental Exchange,Financials
IDXX,IDXX,Idexx Laboratories,Health Care
IEX,IEX,IDEX Corporation,Industrials
IFF,IFF,International Flavors & Fragrances,Materials
ILMN,ILMN,ILMN,Unknown
INCY,INCY,Incyte,Health Care
INFO,INFO,INFO,Unknown
INTC,INTC,Intel,Information Technology
INTU,INTU,Intuit,Information Technology
INVH,INVH,Invitation Homes,Real Estate
IP,IP,International Paper,Materials
IPG,IPG,IPG,Unknown
IPGP,IPGP,IPGP,Unknown
IQV,IQV,IQVIA,Health Care
IR,IR,Ingersoll Rand,Industrials
IRM,IRM,Iron Mountain,Real Estate
ISRG,ISRG,Intuitive Surgical,Health Care
IT,IT,Gartner,Information Technology
ITW,ITW,Illinois Tool Works,Industrials
IVZ,IVZ,Invesco,Financials
J,J,Jacobs Solutions,Industrials
JBHT,JBHT,J.B. Hunt,Industrials
JBL,JBL,Jabil,Information Technology
JCI,JCI,Johnson Controls,Industrials
JEF,JEF,JEF,Unknown
JKHY,JKHY,Jack Henry & Associates,Financials
JNJ,JNJ,Johnson & Johnson,Health Care
JNPR,JNPR,JNPR,Unknown
JPM,JPM,JPMorgan Chase,Financials
JWN,JWN,JWN,Unknown
K,K,K,Unknown
KDP,KDP,Keurig Dr Pepper,Consumer Staples
KEY,KEY,KeyCorp,Financials
KEYS,KEYS,Keysight Technologies,Information Technology
KHC,KHC,Kraft Heinz,Consumer Staples
KIM,KIM,Kimco Realty,Real Estate
KKR,KKR,KKR & Co.,Financials
KLAC,KLAC,KLA Corporation,Information Technology
KMB,KMB,Kimberly-Clark,Consumer Staples
KMI,KMI,Kinder Morgan,Energy
KMX,KMX,KMX,Unknown
KO,KO,Coca-Cola Company (The),Consumer Staples
KORS,KORS,KORS,Unknown
KR,KR,Kroger,Consumer Staples
KSS,KSS,KSS,Unknown
KSU,KSU,KSU,Unknown
KVUE,KVUE,Kenvue,Consumer Staples
L,L,Loews Corporation,Financials
LB,LB,LB,Unknown
LDOS,LDOS,Leidos,Industrials
LEG,LEG,LEG,Unknown
LEN,LEN,Lennar,Consumer Discretionary
LH,LH,Labcorp,Health Care
LHX,LHX,L3Harris,Industrials
LII,LII,Lennox International,Industrials
LIN,LIN,Linde plc,Materials
LITE,LITE,Lumentum,Information Technology
LKQ,LKQ,LKQ,Unknown
LLL,LLL,LLL,Unknown
LLTC,LLTC,LLTC,Unknown
LLY,LLY,Lilly (Eli),Health Care
LM,LM,LM,Unknown
LMT,LMT,Lockheed Martin,Industrials
LNC,LNC,LNC,Unknown
LNT,LNT,Alliant Energy,Utilities
LOW,LOW,Lowe's,Consumer Discretionary
LRCX,LRCX,Lam Research,Information Technology
LULU,LULU,Lululemon Athletica,Consumer Discretionary
CTL,LUMN,CTL,Unknown
LUV,LUV,Southwest Airlines,Industrials
LVLT,LVLT,LVLT,Unknown
LVS,LVS,Las Vegas Sands,Consumer Discretionary
LW,LW,LW,Unknown
LYB,LYB,LyondellBasell,Materials
LYV,LYV,Live Nation Entertainment,Communication Services
M,M,M,Unknown
MA,MA,Mastercard,Financials
MAA,MAA,Mid-America Apartment Communities,Real Estate
MAC,MAC,MAC,Unknown
MAR,MAR,Marriott International,Consumer Discretionary
MAS,MAS,Masco,Industrials
MAT,MAT,MAT,Unknown
MCD,MCD,McDonald's,Consumer Discretionary
MCHP,MCHP,Microchip Technology,Information Technology
MCK,MCK,McKesson Corporation,Health Care
MCO,MCO,Moody's Corporation,Financials
MDLZ,MDLZ,Mondelez International,Consumer Staples
MDT,MDT,Medtronic,Health Care
MET,MET,MetLife,Financials
FB,META,Meta Platforms,Communication Services
MGM,MGM,MGM Resorts,Consumer Discretionary
MHK,MHK,MHK,Unknown
MJN,MJN,MJN,Unknown
MKC,MKC,McCormick & Company,Consumer Staples
MKTX,MKTX,MKTX,Unknown
MLM,MLM,Martin Marietta Materials,Materials
MMM,MMM,3M,Industrials
MNK,MNK,MNK,Unknown
MNST,MNST,Monster Beverage,Consumer Staples
MO,MO,Altria,Consumer Staples
MOH,MOH,MOH,Unknown
MON,MON,MON,Unknown
MOS,MOS,Mosaic Company (The),Materials
MPC,MPC,Marathon Petroleum,Energy
MPWR,MPWR,Monolithic Power Systems,Information Technology
MRK,MRK,Merck & Co.,Health Care
MRNA,MRNA,Moderna,Health Care
MRO,MRO,MRO,Unknown
MMC,MRSH,MMC,Unknown
MRVL,MRVL,Marvell Technology,Information Technology
MS,MS,Morgan Stanley,Financials
MSCI,MSCI,MSCI Inc.,Financials
MSFT,MSFT,Microsoft,Information Technology
MSI,MSI,Motorola Solutions,Information Technology
MTB,MTB,M&T Bank,Financials
MTCH,MTCH,MTCH,Unknown
MTD,MTD,Mettler Toledo,Health Care
MU,MU,Micron Technology,Information Technology
MUR,MUR,MUR,Unknown
MXIM,MXIM,MXIM,Unknown
MYL,MYL,MYL,Unknown
NAVI,NAVI,NAVI,Unknown
NBL,NBL,NBL,Unknown
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NDAQ,NDAQ,"Nasdaq, Inc.",Financials
NDSN,NDSN,Nordson Corporation,Industrials
NEE,NEE,NextEra Energy,Utilities
NEM,NEM,Newmont,Materials
NFLX,NFLX,Netflix,Communication Services
NFX,NFX,NFX,Unknown
NI,NI,NiSource,Utilities
NKE,NKE,"Nike, Inc.",Consumer Discretionary
NKTR,NKTR,NKTR,Unknown
NLSN,NLSN,NLSN,Unknown
NOC,NOC,Northrop Grumman,Industrials
NOV,NOV,NOV,Unknown
NOW,NOW,ServiceNow,Information Technology
NRG,NRG,NRG Energy,Utilities
NSC,NSC,Norfolk Southern,Industrials
NTAP,NTAP,NetApp,Information Technology
NTRS,NTRS,Northern Trust,Financials
NUE,NUE,Nucor,Materials
NVDA,NVDA,Nvidia,Information Technology
NVR,NVR,"NVR, Inc.",Consumer Discretionary
NWL,NWL,NWL,Unknown
NWS,NWS,News Corp (Class B),Communication Services
NWSA,NWSA,News Corp (Class A),Communication Services
NXPI,NXPI,NXP Semiconductors,Information Technology
O,O,Realty Income,Real Estate
ODFL,ODFL,Old Dominion,Industrials
OGN,OGN,OGN,Unknown
OI,OI,OI,Unknown
OKE,OKE,Oneok,Energy
OMC,OMC,Omnicom Group,Communication Services
ON,ON,ON Semiconductor,Information Technology
ORCL,ORCL,Oracle Corporation,Information Technology
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary
OTIS,OTIS,Otis Worldwide,Industrials
OXY,OXY,Occidental Petroleum,Energy
PANW,PANW,Palo Alto Networks,Information Technology
PARA,PARA,PARA,Unknown
PAYC,PAYC,PAYC,Unknown
PAYX,PAYX,Paychex,Industrials
PBCT,PBCT,PBCT,Unknown
PBI,PBI,PBI,Unknown
PCAR,PCAR,Paccar,Industrials
PCG,PCG,PG&E Corporation,Utilities
PCL,PCL,PCL,Unknown
PCP,PCP,PCP,Unknown
PDCO,PDCO,PDCO,Unknown
PEG,PEG,Public Service Enterprise Group,Utilities
PENN,PENN,PENN,Unknown
PEP,PEP,PepsiCo,Consumer Staples
PFE,PFE,Pfizer,Health Care
PFG,PFG,Principal Financial Group,Financials
PG,PG,Procter & Gamble,Consumer Staples
PGR,PGR,Progressive Corporation,Financials
PH,PH,Parker Hannifin,Industrials
PHM,PHM,PulteGroup,Consumer Discretionary
PKG,PKG,Packaging Corporation of America,Materials
PLD,PLD,Prologis,Real Estate
PLTR,PLTR,Palantir Technologies,Information Technology
PM,PM,Philip Morris International,Consumer Staples
PNC,PNC,PNC Financial Services,Financials
PNR,PNR,Pentair,Industrials
PNW,PNW,Pinnacle West Capital,Utilities
PODD,PODD,Insulet Corporation,Health Care
POM,POM,POM,Unknown
POOL,POOL,POOL,Unknown
PPG,PPG,PPG Industries,Materials
PPL,PPL,PPL Corporation,Utilities
PRGO,PRGO,PRGO,Unknown
PRU,PRU,Prudential Financial,Financials
PSA,PSA,Public Storage,Real Estate
PSKY,PSKY,Paramount Skydance Corporation,Communication Services
PSX,PSX,Phillips 66,Energy
PTC,PTC,PTC Inc.,Information Technology
PVH,PVH,PVH,Unknown
PWR,PWR,Quanta Services,Industrials
PX,PX,PX,Unknown
PXD,PXD,PXD,Unknown
PYPL,PYPL,PayPal,Financials
Q,Q,Qnity Electronics,Information Technology
QCOM,QCOM,Qualcomm,Information Technology
QRVO,QRVO,QRVO,Unknown
R,R,R,Unknown
RAI,RAI,RAI,Unknown
RCL,RCL,Royal Caribbean Group,Consumer Discretionary
REG,REG,Regency Centers,Real Estate
REGN,REGN,Regeneron Pharmaceuticals,Health Care
RF,RF,Regions Financial Corporation,Financials
RHI,RHI,RHI,Unknown
RHT,RHT,RHT,Unknown
RIG,RIG,RIG,Unknown
RJF,RJF,Raymond James Financial,Financials
RL,RL,Ralph Lauren Corporation,Consumer Discretionary
RMD,RMD,ResMed,Health Care
ROK,ROK,Rockwell Automation,Industrials
ROL,ROL,"Rollins, Inc.",Industrials
ROP,ROP,Roper Technologies,Information Technology
ROST,ROST,Ross Stores,Consumer Discretionary
RRC,RRC,RRC,Unknown
RSG,RSG,Republic Services,Industrials
RTN,RTN,RTN,Unknown
RTX,RTX,RTX Corporation,Industrials
PKI,RVTY,Revvity,Health Care
SATS,SATS,SATS,Unknown
SBAC,SBAC,SBA Communications,Real Estate
SBNY,SBNY,SBNY,Unknown
SBUX,SBUX,Starbucks,Consumer Discretionary
SCG,SCG,SCG,Unknown
SCHW,SCHW,Charles Schwab Corporation,Financials
SE,SE,SE,Unknown
SEDG,SEDG,SEDG,Unknown
SEE,SEE,SEE,Unknown
SHW,SHW,Sherwin-Williams,Materials
SIG,SIG,SIG,Unknown
SIVB,SIVB,SIVB,Unknown
SJM,SJM,J.M. Smucker Company (The),Consumer Staples
SLB,SLB,Schlumberger,Energy
SLG,SLG,SLG,Unknown
SMCI,SMCI,Supermicro,Information Technology
SNA,SNA,Snap-on,Industrials
SNDK,SNDK,Sandisk,Information Technology
SNI,SNI,SNI,Unknown
SNPS,SNPS,Synopsys,Information Technology
SO,SO,Southern Company,Utilities
SOLS,SOLS,SOLS,Unknown
SOLV,SOLV,Solventum,Health Care
SPG,SPG,Simon Property Group,Real Estate
SPGI,SPGI,S&P Global,Financials
SPLS,SPLS,SPLS,Unknown
SRCL,SRCL,SRCL,Unknown
SRE,SRE,Sempra,Utilities
STE,STE,Steris,Health Care
STI,STI,STI,Unknown
STJ,STJ,STJ,Unknown
STLD,STLD,Steel Dynamics,Materials
STT,STT,State Street Corporation,Financials
STX,STX,Seagate Technology,Information Technology
STZ,STZ,Constellation Brands,Consumer Staples
SW,SW,Smurfit Westrock,Materials
SWK,SWK,Stanley Black & Decker,Industrials
SWKS,SWKS,Skyworks Solutions,Information Technology
SWN,SWN,SWN,Unknown
SYF,SYF,Synchrony Financial,Financials
SYK,SYK,Stryker Corporation,Health Care
SYMC,SYMC,SYMC,Unknown
SYY,SYY,Sysco,Consumer Staples
T,T,AT&T,Communication Services
TAP,TAP,Molson Coors Beverage Company,Consumer Staples
TDC,TDC,TDC,Unknown
TDG,TDG,TransDigm Group,Industrials
TDY,TDY,Teledyne Technologies,Information Technology
TE,TE,TE,Unknown
TECH,TECH,Bio-Techne,Health Care
TEL,TEL,TE Connectivity,Information Technology
TER,TER,Teradyne,Information Technology
TFC,TFC,Truist Financial,Financials
TFX,TFX,TFX,Unknown
TGNA,TGNA,TGNA,Unknown
TGT,TGT,Target Corporation,Consumer Staples
THC,THC,THC,Unknown
TIF,TIF,TIF,Unknown
TJX,TJX,TJX Companies,Consumer Discretionary
TKO,TKO,TKO Group Holdings,Communication Services
TMO,TMO,Thermo Fisher Scientific,Health Care
TMUS,TMUS,T-Mobile US,Communication Services
TPL,TPL,Texas Pacific Land Corporation,Energy
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary
TRGP,TRGP,Targa Resources,Energy
TRIP,TRIP,TRIP,Unknown
TRMB,TRMB,Trimble Inc.,Information Technology
TROW,TROW,T. Rowe Price,Financials
TRV,TRV,Travelers Companies (The),Financials
TSCO,TSCO,Tractor Supply,Consumer Discretionary
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary
TSN,TSN,Tyson Foods,Consumer Staples
TSS,TSS,TSS,Unknown
TT,TT,Trane Technologies,Industrials
TTD,TTD,Trade Desk (The),Communication Services
TTWO,TTWO,Take-Two Interactive,Communication Services
TWC,TWC,TWC,Unknown
TWTR,TWTR,TWTR,Unknown
TWX,TWX,TWX,Unknown
TXN,TXN,Texas Instruments,Information Technology
TXT,TXT,Textron,Industrials
TYL,TYL,Tyler Technologies,Information Technology
UA,UA,UA,Unknown
UAA,UAA,UAA,Unknown
UAL,UAL,United Airlines Holdings,Industrials
UBER,UBER,Uber,Industrials
UDR,UDR,"UDR, Inc.",Real Estate
UHS,UHS,Universal Health Services,Health Care
ULTA,ULTA,Ulta Beauty,Consumer Discretionary
UNH,UNH,UnitedHealth Group,Health Care
UNM,UNM,UNM,Unknown
UNP,UNP,Union Pacific Corporation,Industrials
UPS,UPS,United Parcel Service,Industrials
URBN,URBN,URBN,Unknown
URI,URI,United Rentals,Industrials
USB,USB,U.S. Bancorp,Financials
UTX,UTX,UTX,Unknown
V,V,Visa Inc.,Financials
VAR,VAR,VAR,Unknown
VEEV,VEEV,Veeva Systems,Health Care
VFC,VFC,VFC,Unknown
VIAB,VIAB,VIAB,Unknown
VICI,VICI,Vici Properties,Real Estate
VLO,VLO,Valero Energy,Energy
VLTO,VLTO,Veralto,Industrials
VMC,VMC,Vulcan Materials Company,Materials
EQR,VMRK,Equity Residential,Real Estate
VNO,VNO,VNO,Unknown
VNT,VNT,VNT,Unknown
VRSK,VRSK,Verisk Analytics,Industrials
VRSN,VRSN,Verisign,Information Technology
VRT,VRT,Vertiv,Industrials
VRTX,VRTX,Vertex Pharmaceuticals,Health Care
VST,VST,Vistra Corp.,Utilities
VTR,VTR,Ventas,Real Estate
